Issue Name,Category,Severity,Frequency,Sentiment,Letter Text
Air Pollution,Community Concern,Low,Rare,Positive,"Dear Council,

I am writing to express my concerns about air pollution. It has become a pressing matter in our community, and we need immediate action to address it.

Sincerely,
A Concerned Resident"
Air Pollution,Community Concern,Medium,Occasional,Neutral,"Dear Council,

I am writing to express my concerns about air pollution. It has become a pressing matter in our community, and we need immediate action to address it.

Sincerely,
A Concerned Resident"
Air Pollution,Community Concern,High,Frequent,Negative,"Dear Council,

I am writing to express my concerns about air pollution. It has become a pressing matter in our community, and we need immediate action to address it.

Sincerely,
A Concerned Resident"
Air Pollution,Community Concern,Low,Rare,Positive,"Dear Council,

I am writing to express my concerns about air pollution. It has become a pressing matter in our community, and we need immediate action to address it.

Sincerely,
A Concerned Resident"
Air Pollution,Community Concern,Medium,Occasional,Neutral,"Dear Council,

I am writing to express my concerns about air pollution. It has become a pressing matter in our community, and we need immediate action to address it.

Sincerely,
A Concerned Resident"
Traffic Congestion,Community Concern,Low,Rare,Positive,"Dear Council,

I am writing to express my concerns about traffic congestion. It has become a pressing matter in our community, and we need immediate action to address it.

Sincerely,
A Concerned Resident"
Traffic Congestion,Community Concern,Medium,Occasional,Neutral,"Dear Council,

I am writing to express my concerns about traffic congestion. It has become a pressing matter in our community, and we need immediate action to address it.

Sincerely,
A Concerned Resident"
Traffic Congestion,Community Concern,High,Frequent,Negative,"Dear Council,

I am writing to express my concerns about traffic congestion. It has become a pressing matter in our community, and we need immediate action to address it.

Sincerely,
A Concerned Resident"
Traffic Congestion,Community Concern,Low,Rare,Positive,"Dear Council,

I am writing to express my concerns about traffic congestion. It has become a pressing matter in our community, and we need immediate action to address it.

Sincerely,
A Concerned Resident"
Traffic Congestion,Community Concern,Medium,Occasional,Neutral,"Dear Council,

I am writing to express my concerns about traffic congestion. It has become a pressing matter in our community, and we need immediate action to address it.

Sincerely,
A Concerned Resident"
Lack of Affordable Housing,Community Concern,Low,Rare,Positive,"Dear Council,

I am writing to express my concerns about lack of affordable housing. It has become a pressing matter in our community, and we need immediate action to address it.

Sincerely,
A Concerned Resident"
Lack of Affordable Housing,Community Concern,Medium,Occasional,Neutral,"Dear Council,

I am writing to express my concerns about lack of affordable housing. It has become a pressing matter in our community, and we need immediate action to address it.

Sincerely,
A Concerned Resident"
Lack of Affordable Housing,Community Concern,High,Frequent,Negative,"Dear Council,

I am writing to express my concerns about lack of affordable housing. It has become a pressing matter in our community, and we need immediate action to address it.

Sincerely,
A Concerned Resident"
Lack of Affordable Housing,Community Concern,Low,Rare,Positive,"Dear Council,

I am writing to express my concerns about lack of affordable housing. It has become a pressing matter in our community, and we need immediate action to address it.

Sincerely,
A Concerned Resident"
Lack of Affordable Housing,Community Concern,Medium,Occasional,Neutral,"Dear Council,

I am writing to express my concerns about lack of affordable housing. It has become a pressing matter in our community, and we need immediate action to address it.

Sincerely,
A Concerned Resident"
Homelessness,Community Concern,Low,Rare,Positive,"Dear Council,

I am writing to express my concerns about homelessness. It has become a pressing matter in our community, and we need immediate action to address it.

Sincerely,
A Concerned Resident"
Homelessness,Community Concern,Medium,Occasional,Neutral,"Dear Council,

I am writing to express my concerns about homelessness. It has become a pressing matter in our community, and we need immediate action to address it.

Sincerely,
A Concerned Resident"
Homelessness,Community Concern,High,Frequent,Negative,"Dear Council,

I am writing to express my concerns about homelessness. It has become a pressing matter in our community, and we need immediate action to address it.

Sincerely,
A Concerned Resident"
Homelessness,Community Concern,Low,Rare,Positive,"Dear Council,

I am writing to express my concerns about homelessness. It has become a pressing matter in our community, and we need immediate action to address it.

Sincerely,
A Concerned Resident"
Homelessness,Community Concern,Medium,Occasional,Neutral,"Dear Council,

I am writing to express my concerns about homelessness. It has become a pressing matter in our community, and we need immediate action to address it.

Sincerely,
A Concerned Resident"
Youth Unemployment,Community Concern,Low,Rare,Positive,"Dear Council,

I am writing to express my concerns about youth unemployment. It has become a pressing matter in our community, and we need immediate action to address it.

Sincerely,
A Concerned Resident"
Youth Unemployment,Community Concern,Medium,Occasional,Neutral,"Dear Council,

I am writing to express my concerns about youth unemployment. It has become a pressing matter in our community, and we need immediate action to address it.

Sincerely,
A Concerned Resident"
Youth Unemployment,Community Concern,High,Frequent,Negative,"Dear Council,

I am writing to express my concerns about youth unemployment. It has become a pressing matter in our community, and we need immediate action to address it.

Sincerely,
A Concerned Resident"
Youth Unemployment,Community Concern,Low,Rare,Positive,"Dear Council,

I am writing to express my concerns about youth unemployment. It has become a pressing matter in our community, and we need immediate action to address it.

Sincerely,
A Concerned Resident"
Youth Unemployment,Community Concern,Medium,Occasional,Neutral,"Dear Council,

I am writing to express my concerns about youth unemployment. It has become a pressing matter in our community, and we need immediate action to address it.

Sincerely,
A Concerned Resident"
Overcrowded Public Transport,Community Concern,Low,Rare,Positive,"Dear Council,

I am writing to express my concerns about overcrowded public transport. It has become a pressing matter in our community, and we need immediate action to address it.

Sincerely,
A Concerned Resident"
Overcrowded Public Transport,Community Concern,Medium,Occasional,Neutral,"Dear Council,

I am writing to express my concerns about overcrowded public transport. It has become a pressing matter in our community, and we need immediate action to address it.

Sincerely,
A Concerned Resident"
Overcrowded Public Transport,Community Concern,High,Frequent,Negative,"Dear Council,

I am writing to express my concerns about overcrowded public transport. It has become a pressing matter in our community, and we need immediate action to address it.

Sincerely,
A Concerned Resident"
Overcrowded Public Transport,Community Concern,Low,Rare,Positive,"Dear Council,

I am writing to express my concerns about overcrowded public transport. It has become a pressing matter in our community, and we need immediate action to address it.

Sincerely,
A Concerned Resident"
Overcrowded Public Transport,Community Concern,Medium,Occasional,Neutral,"Dear Council,

I am writing to express my concerns about overcrowded public transport. It has become a pressing matter in our community, and we need immediate action to address it.

Sincerely,
A Concerned Resident"
High Cost of Living,Community Concern,Low,Rare,Positive,"Dear Council,

I am writing to express my concerns about high cost of living. It has become a pressing matter in our community, and we need immediate action to address it.

Sincerely,
A Concerned Resident"
High Cost of Living,Community Concern,Medium,Occasional,Neutral,"Dear Council,

I am writing to express my concerns about high cost of living. It has become a pressing matter in our community, and we need immediate action to address it.

Sincerely,
A Concerned Resident"
High Cost of Living,Community Concern,High,Frequent,Negative,"Dear Council,

I am writing to express my concerns about high cost of living. It has become a pressing matter in our community, and we need immediate action to address it.

Sincerely,
A Concerned Resident"
High Cost of Living,Community Concern,Low,Rare,Positive,"Dear Council,

I am writing to express my concerns about high cost of living. It has become a pressing matter in our community, and we need immediate action to address it.

Sincerely,
A Concerned Resident"
High Cost of Living,Community Concern,Medium,Occasional,Neutral,"Dear Council,

I am writing to express my concerns about high cost of living. It has become a pressing matter in our community, and we need immediate action to address it.

Sincerely,
A Concerned Resident"
Decline in Local Shops and High Street Businesses,Community Concern,Low,Rare,Positive,"Dear Council,

I am writing to express my concerns about decline in local shops and high street businesses. It has become a pressing matter in our community, and we need immediate action to address it.

Sincerely,
A Concerned Resident"
