Letter_ID,Issue Name,Category,Severity,Frequency,Sentiment,Letter Text,Document Style
1,Air Pollution,Air Pollution,Low,Rare,Positive,"Dear Council,

I am writing to express my concerns regarding Air Pollution. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
2,Air Pollution,Air Pollution,Medium,Occasional,Neutral,"Dear Council,

I am writing to express my concerns regarding Air Pollution. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Multi-Document
3,Air Pollution,Air Pollution,High,Frequent,Negative,"Dear Council,

I am writing to express my concerns regarding Air Pollution. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
4,Air Pollution,Air Pollution,Critical,Very Frequent,Positive,"Dear Council,

I am writing to express my concerns regarding Air Pollution. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Multi-Document
5,Air Pollution,Air Pollution,Low,Rare,Neutral,"Dear Council,

I am writing to express my concerns regarding Air Pollution. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
6,Traffic Congestion,Traffic Congestion,Low,Rare,Positive,"Dear Council,

I am writing to express my concerns regarding Traffic Congestion. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
7,Traffic Congestion,Traffic Congestion,Medium,Occasional,Neutral,"Dear Council,

I am writing to express my concerns regarding Traffic Congestion. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Multi-Document
8,Traffic Congestion,Traffic Congestion,High,Frequent,Negative,"Dear Council,

I am writing to express my concerns regarding Traffic Congestion. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
9,Traffic Congestion,Traffic Congestion,Critical,Very Frequent,Positive,"Dear Council,

I am writing to express my concerns regarding Traffic Congestion. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Multi-Document
10,Traffic Congestion,Traffic Congestion,Low,Rare,Neutral,"Dear Council,

I am writing to express my concerns regarding Traffic Congestion. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
11,Lack of Affordable Housing,Lack of Affordable Housing,Low,Rare,Positive,"Dear Council,

I am writing to express my concerns regarding Lack of Affordable Housing. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
12,Lack of Affordable Housing,Lack of Affordable Housing,Medium,Occasional,Neutral,"Dear Council,

I am writing to express my concerns regarding Lack of Affordable Housing. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Multi-Document
13,Lack of Affordable Housing,Lack of Affordable Housing,High,Frequent,Negative,"Dear Council,

I am writing to express my concerns regarding Lack of Affordable Housing. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
14,Lack of Affordable Housing,Lack of Affordable Housing,Critical,Very Frequent,Positive,"Dear Council,

I am writing to express my concerns regarding Lack of Affordable Housing. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Multi-Document
15,Lack of Affordable Housing,Lack of Affordable Housing,Low,Rare,Neutral,"Dear Council,

I am writing to express my concerns regarding Lack of Affordable Housing. Over the past months, the situation has worsened significantly, affecting the well-being of our community. Immediate action is required to address this pressing issue.

Thank you for your attention.

Sincerely,
A Concerned Citizen",Single Document
