text,issue_category,severity,sentiment
"Dear Sir/Madam, I am writing to express my deep concern regarding the deteriorating air quality in Birmingham. Over the past few months, the city has experienced a significant increase in smog and industrial emissions, which I believe is severely affecting public health. I have observed that the polluted air is causing respiratory issues among residents, particularly vulnerable groups such as the elderly and children. I urge the council to undertake immediate measures, including stricter emissions controls and increased monitoring, to mitigate this hazardous situation. Your prompt action in addressing this matter would be greatly appreciated.",Air Pollution,High,Negative
"Dear Council Team, I am writing to report the ongoing traffic congestion issues on the main thoroughfares of Manchester. During peak hours, the excessive build-up of vehicles is causing delays, frustration among commuters, and potential safety hazards. The situation is exacerbated by insufficient traffic management measures. I kindly request that you consider implementing new traffic control systems and exploring alternative routes to alleviate the congestion. I trust that you will take appropriate action to improve the situation for the benefit of all residents.",Traffic Congestion,Medium,Negative
"To Whom It May Concern, I wish to bring to your attention the persistent issue of potholes along several roads in central London. These potholes not only damage vehicles but also pose a serious risk to pedestrians. Despite previous repair attempts, the problem continues to worsen, particularly during inclement weather. I respectfully request a thorough review of the road maintenance schedules and a prompt, long-term solution to ensure the safety and comfort of all road users. Your immediate intervention in this matter is essential.",Potholes,High,Negative
"Dear Sir/Madam, I am writing to highlight the increasing problem of noise pollution in Edinburgh, which has disrupted the peace and quiet expected in our residential neighbourhood. The persistent loud noises during the night, primarily from ongoing construction and late-night activities, have significantly affected my family’s sleep and well-being. I kindly request that the council reviews the current noise control policies and enforces stricter regulations on nighttime disturbances. I trust that you will address this issue promptly to restore tranquility to our community.",Noise Pollution,Low,Negative
"Dear Council Representative, I am compelled to express my concerns regarding the lack of affordable housing in Bristol. The rising cost of living has made it increasingly difficult for low-income families to secure safe and affordable accommodation. This issue is not only affecting individuals and families but also has broader implications for community stability and social equality. I urge the council to explore viable solutions such as subsidised housing projects and rent control measures to assist those in need. Your attention and swift action in this matter would be most welcome.",Lack of Affordable Housing,High,Negative
"Dear Council, I am writing to express my growing concern about the escalating levels of air pollution near the industrial estate on Elm Street, Manchester. Since early 2021, residents have reported frequent episodes of smog and unpleasant odours, which seem to be linked to nearby factories. The situation has notably affected our health and outdoor activities. I urge the council to enforce stricter regulations on emissions and to monitor industrial activities more rigorously. Your prompt action in addressing this issue would be greatly appreciated. Thank you for your attention. Yours faithfully, S. Johnson, 15th April 2021.","Air Pollution","High","Negative"
"Dear Council, I wish to bring to your attention the deteriorating air quality around Riverside Park in Birmingham. Over the last six months, the increased traffic and industrial activities along the river have resulted in noticeable haze and irritation among local residents. Many are experiencing respiratory discomfort and reduced outdoor leisure. While I recognise the complexities of urban development, I respectfully request that the council implement measures such as increased green zones and stricter emissions control to mitigate these issues. I trust you will consider this matter with urgency. Yours sincerely, M. Thompson, 22nd May 2022.","Air Pollution","Medium","Negative"
"Dear Council, I am writing regarding the persistent air pollution affecting our community in Leeds. The continuous emission of pollutants from the nearby factories has led to a decline in air quality, causing health concerns for the elderly and children in the area. I appreciate the efforts made so far, but further steps are required to address this issue. Could you please consider installing air quality monitoring stations and enforcing environmental regulations more strictly? I believe these measures will benefit our community greatly. Thank you for your time and consideration. Yours sincerely, L. Evans, 10th September 2020.","Air Pollution","High","Negative"
"Dear Council, I am writing to provide feedback on the air quality in our district, particularly around King’s Road, Nottingham. Although there have been improvements in some areas, I have noticed intermittent spikes in air pollution, likely due to increased vehicular traffic. While not an emergency, this issue could worsen if left unmonitored. I would be grateful if the council could conduct periodic air quality assessments and consider measures to maintain steady improvements. Your efforts in this matter are appreciated. Best regards, C. Patel, 5th July 2019.","Air Pollution","Low","Neutral"
"Dear Council, I write to express concern over the noticeable rise in air pollution levels in our area of Sheffield. Since last winter, a combination of industrial emissions and heavy traffic has contributed to a murky atmosphere that affects daily life and public health. It is imperative that swift action is taken to address these environmental challenges. I kindly request that you review current policies and invest in sustainable transport initiatives to reduce emissions. Thank you for your attention to this urgent matter. Yours faithfully, R. Clarke, 30th November 2021.","Air Pollution","High","Negative"
