Letter ID,Severity,Frequency,issue_category,sentiment,issue_name,letter_text
1,High,Persistent,Environmental,Neutral,Air Pollution,"Dear Council, I am writing to inform you about the air quality in our area. The levels of nitrogen dioxide and particulate matter have exceeded safe limits near busy roads and industrial zones. This is affecting the respiratory health of residents, especially children and the elderly. Please consider implementing emissions regulations and promoting cleaner transportation options. Sincerely, John Doe"
2,High,Persistent,Transport,Neutral,Traffic Congestion,"Dear Council, The traffic congestion on Main Street during peak hours is causing delays and contributing to air pollution. Implementing better traffic management systems and encouraging public transport could help. Best regards, Jane Smith"
3,High,Persistent,Housing,Neutral,Lack of Affordable Housing,"Dear Council, The lack of affordable housing in our area is an issue. Rising rents and property prices are impacting many families. Prioritizing the construction of social housing and introducing rent control measures could be beneficial. Yours sincerely, Michael Brown"
4,High,Persistent,Social,Neutral,Homelessness,"Dear Council, The number of rough sleepers in our city has increased. It is important to support homeless shelters and services. Kind regards, Sarah Johnson"
5,Medium,Persistent,Economic,Neutral,Youth Unemployment,"Dear Council, The rate of youth unemployment in our area is high. Creating more apprenticeship programs and partnering with local businesses to provide opportunities could help. Sincerely, David Wilson"
6,High,Persistent,Transport,Neutral,Overcrowded Public Transport,"Dear Council, Overcrowding on buses and trains during peak hours is causing discomfort for commuters. Increasing the frequency of services and investing in additional vehicles could alleviate the issue. Best regards, Emily Davis"
7,High,Persistent,Economic,Neutral,High Cost of Living,"Dear Council, The rising cost of living is affecting families in our area. Exploring measures to reduce living costs, such as subsidies and price controls, could be beneficial. Yours sincerely, Robert Taylor"
8,Medium,Persistent,Economic,Neutral,Decline in Local Shops and High Street Businesses,"Dear Council, The decline of local shops and high street businesses is an issue. Providing financial support and incentives could help these businesses survive. Kind regards, Laura Evans"
9,High,Persistent,Healthcare,Neutral,Underfunded Healthcare Services,"Dear Council, The underfunding of healthcare services is impacting the NHS. Increasing funding and resources could improve the situation. Sincerely, James Clark"
10,High,Persistent,Technology,Neutral,Cybersecurity Threats,"Dear Council, Cybersecurity risks for individuals and businesses are growing. Organizing workshops and providing resources to improve cybersecurity awareness could be beneficial. Sincerely, John Doe"
